uuid,timestamp,value,true_label,predicted_anomaly,threshold,is_above_threshold
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967577,32598992.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967581,62943314.096065,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967592,33941312.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967607,35350952.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967613,63574595.72542833,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967622,36904232.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967637,38292288.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967652,39586048.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967667,29856792.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967682,31252096.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967693,60313357.20236844,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967697,32617720.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967712,33987000.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967727,35387568.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967742,36814232.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967754,55199332.411761336,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967757,38327416.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967767,60956270.56077993,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967772,39627432.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967787,29876768.0,0,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967802,57843806.85077834,1,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967802,31268984.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967817,32716752.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967832,34041800.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967836,61718348.87992477,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967847,35403088.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967862,36826328.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967877,38265488.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967892,39607312.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967907,29893368.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967922,31201320.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967937,32677384.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967952,37140992.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967967,38467856.0,0,0,2761158.134973797,1
